"","ID","Length","R.HD","R.HF","sd_ratio.HF","suckled_ever","suckling_ever","count_HF"
"1","GAL2023_001",14.646790522102,0.70703699751778,0.40319060260996,0.0057280942764253,FALSE,FALSE,8
"2","GAL2023_002",16.0884475964517,0.684702908072854,0.389121715869436,0.010810649229792,FALSE,FALSE,3
"3","GAL2023_004",15.2761644346905,0.67515896882672,0.409035201599555,0.0122558306965531,FALSE,FALSE,4
"4","GAL2023_006",12.5927336304969,0.677177360784413,0.353712122204239,0.010563456362633,FALSE,FALSE,3
"5","GAL2023_007",12.7141932923157,0.674520867774736,0.380331108287711,0.00792096206308367,FALSE,FALSE,3
"6","GAL2023_011",10.8115484943181,0.647968613735467,0.32405496091568,0.0195268271721004,TRUE,FALSE,3
"7","GAL2023_012",11.9247313730217,0.659525844324079,0.307693118248545,0.0147368861625403,FALSE,FALSE,5
"8","GAL2023_013",11.3451662805743,0.658649194122183,0.287302173602066,0.00975571913487846,FALSE,FALSE,6
"9","GAL2023_014",10.4248249012456,0.665089492993029,0.325212382009501,0.016310425349614,FALSE,FALSE,3
"10","GAL2023_015",9.37383255598373,0.645702021019427,0.328442926298458,0.0224605659085723,FALSE,FALSE,3
"11","GAL2023_017",9.81775565882667,0.679328835082476,0.292565220200279,0.00697166000240669,FALSE,FALSE,3
"12","GAL2023_021",11.3181021212227,0.645992487508932,0.298642620695281,0.0104067017945,FALSE,FALSE,3
"13","GAL2023_023",10.1112032812269,0.647345127527099,0.309906715347196,0.0372309467844509,FALSE,FALSE,3
"14","GAL2023_024",10.9811105662136,0.6738572422087,0.303900435677573,0.0018836343283591,FALSE,FALSE,3
"15","GAL2023_025",10.8649854897802,0.656087609080912,0.301066868733208,0.00281472614593852,FALSE,FALSE,3
"16","GAL2023_026",10.4041147773034,0.657812901458865,0.287092298456718,0.0112458856457741,FALSE,FALSE,3
"17","GAL2023_030",10.4482462538112,0.644350520364992,0.295665977816863,0.00679429719628996,FALSE,FALSE,3
"18","GAL2023_034",10.8469604904584,0.666043310674142,0.292296313997459,0.00431300390560546,FALSE,FALSE,3
"19","GAL2023_036",10.4750053070489,0.647607643040346,0.309197496466599,0.00688128943447833,FALSE,FALSE,5
"20","GAL2023_041",9.0345173339068,0.658624510165374,0.313979261831231,0.00506439386427895,FALSE,FALSE,3
"21","GAL2023_042",6.6886310832868,0.630095685556084,0.296540073520403,0.00798143268154142,FALSE,FALSE,3
"22","GAL2023_044",8.25886734023146,0.644200932219953,0.286168130103634,0.004981841662129,FALSE,FALSE,3
"23","GAL2023_049",7.4425840967235,0.618454144259822,0.295735905054379,0.0155431788609628,FALSE,FALSE,3
"24","GAL2023_053",11.0464989805093,0.672987018041235,0.281333463443347,0.00337312487011134,FALSE,FALSE,3
"25","GAL2023_054",4.19157354464408,0.656641411412824,0.285783412489326,0.0170886978700357,FALSE,TRUE,3
"26","GAL2023_057",12.1231932474019,0.68743513862559,0.322494008863014,0.00751464101977991,FALSE,FALSE,3
"27","GAL2023_059",10.0925822433637,0.658485189102398,0.29855738640319,0.0134936768400857,FALSE,FALSE,3
"28","GAL2023_064",10.8046326365675,0.645713679526794,0.290710882061885,0.0134122932317302,FALSE,FALSE,3
"29","GAL2023_065",8.69923523106093,0.640276864587028,0.305723532500552,0.00313954577664276,FALSE,FALSE,3
"30","GAL2023_066",11.2024841131904,0.656756769142671,0.318684458836472,0.00301848918620883,FALSE,FALSE,3
"31","GAL2023_080",10.6531400705297,0.660180403186931,0.297138859759308,0.0053236249578632,FALSE,FALSE,3
"32","GAL2023_081",15.6554959505243,0.699700518450195,0.384576606693314,0.0100278994777361,FALSE,FALSE,3
"33","GAL2023_084",11.1047348931779,0.664515688411122,0.302120034935617,0.00579559080456458,TRUE,FALSE,3
"34","GAL2023_085",10.3439342230319,0.652097341359452,0.309151415811707,0.0161598583656386,FALSE,FALSE,3
"35","GAL2023_086",11.7974099224113,0.647150136609199,0.290569484369983,0.00421922128173434,TRUE,FALSE,3
"36","GAL2023_087",11.6571024751787,0.660245450607637,0.296473543262954,0.00191176534610463,FALSE,FALSE,3
"37","GAL2023_088",10.4938419193971,0.630002430917872,0.297838883153973,0.0028409437756909,FALSE,FALSE,3
"38","GAL2023_089",10.0864329435016,0.664392289148657,0.334823680738693,0.0122183407787732,FALSE,FALSE,3
"39","GAL2023_090",11.3264480282671,0.666965369503753,0.312347967561777,0.00329033598188405,FALSE,FALSE,3
"40","GAL2023_093",7.0547248280118,0.65560358575929,0.315773410863326,0.0180887363561088,FALSE,TRUE,5
"41","Gal2023_067",12.5089217895695,0.651110128482327,0.298408737432019,0.00147429511648273,TRUE,FALSE,3
"42","Gal2023_069",10.3596858227481,0.644682524161367,0.29746707825588,0.00601848642598087,FALSE,FALSE,3
"43","Gal2023_070",9.97565546826706,0.655928817913158,0.310937928382576,0.0122480230856219,FALSE,FALSE,3
"44","Gal2023_071",4.40544687992187,0.633902540128149,0.273707938216292,0.01441923615574,FALSE,FALSE,3
"45","Gal2023_074",10.7888739236956,0.682051696253434,0.30083226249671,0.00443612984176109,TRUE,FALSE,3
"46","Gal2023_075",8.90035123450973,0.689646009091723,0.310908222872953,0.00938856230051282,TRUE,FALSE,3
"47","Gal2023_076",9.88422264598013,0.642342422935039,0.310596193509862,0.00381290174697652,TRUE,FALSE,3
"48","Gal2023_077",11.2309651793768,0.674015995882635,0.306685001141018,0.00445270270749766,FALSE,FALSE,3
"49","Gal2023_078",5.451035845964,0.614960539991306,0.311941190371405,0.0100321470565273,FALSE,FALSE,3
"50","Gal2023_079",11.0095454257572,0.640907453327247,0.292216408324646,0.00993000274963928,FALSE,FALSE,3
"51","gal2023_073",12.411688058098,0.654215023313691,0.30845908039799,0.00100370519524059,FALSE,FALSE,3
